ID,Ime,Spol,Rojstni Kraj,Leto Rojstva,Starost,Stanje,Ogledi Slo,Ogledi Ang,Povezave Slo,Povezave Ang,Dolžina Slo,Dolžina Ang
112919,Zofka Kveder,Ženska,Ljubljana,1878,48,Mrtev,196,118,71,20,1609,470
118513,Marko Simeunovič,Moški,Maribor,1967,51,Živ,46,216,48,74,180,436
123878,Lojze Kovačič,Moški,,1928,75,Mrtev,223,100,707,124,4282,1897
126968,Marjan Jelenko,Moški,Maribor,1991,28,Živ,10,14,4,30,72,112
132193,Jožef Smej,Moški,Bogojina,1922,97,Živ,41,56,40,13,656,223
137614,Simon Špilak,Moški,Tišina,1986,33,Živ,98,560,8,187,190,913
147810,Anton Ingolič,Moški,Spodnja Polskava,1907,85,Mrtev,333,82,460,104,3271,589
156902,Primož Trubar,Moški,,1508,77,Mrtev,5721,1198,293,465,2309,1695
161900,Miško Kranjec,Moški,Velika Polana,1908,74,Mrtev,611,110,398,35,2221,336
165852,Jaka Hvala,Moški,Ponikve,1993,26,Živ,10,47,40,37,225,284
168948,Zdenko Verdenik,Moški,Ptuj,1949,70,Živ,50,106,28,161,167,527
171228,Janez Drnovšek,Moški,Celje,1950,57,Mrtev,615,1637,1222,430,4566,3188
174719,Grega Bole,Moški,Jesenice,1985,34,Živ,37,225,15,176,150,775
175451,Jure Zdovc,Moški,Maribor,1966,52,Živ,123,880,78,181,1105,941
177511,Srečko Katanec,Moški,Ljubljana,1963,56,Živ,192,2573,95,496,917,2112
178639,Kristjan Fajt,Moški,Koper,1982,37,Živ,13,26,13,34,69,346
179513,Franci Petek,Moški,Jesenice,1971,48,Živ,62,62,122,107,732,619
183566,Rok Tičar,Moški,Jesenice,1989,30,Živ,16,43,36,52,510,225
184750,Slavoj Žižek,Moški,Ljubljana,1949,70,Živ,782,63202,63,1722,2757,6363
187761,Vladimir Vauhnik,Moški,Svetinje,1896,58,Mrtev,129,239,19,10,882,1081
192041,Boris Kidrič,Moški,Dunaj,1912,41,Mrtev,355,539,104,89,1277,760
194443,Milan Kučan,Moški,"Križevci, Gornji Petrovci",1941,78,Živ,916,1607,848,354,1170,2552
196311,Nina Sovinek,Ženska,Velenje,1985,34,Živ,0,19,5,20,74,380
197527,Vesna Fabjan,Ženska,Kranj,1985,34,Živ,26,47,42,61,287,588
199899,Franc Kangler,Moški,Maribor,1965,54,Živ,269,136,296,19,1921,829
200509,Žiga Zois,Moški,Trst,1747,71,Mrtev,1007,304,161,72,983,1314
201156,Britta Bilač,Ženska,,1968,50,Živ,135,122,66,101,381,540
203291,Ana Drev,Ženska,Slovenj Gradec,1985,34,Živ,35,53,23,35,139,479
206471,Borut Pahor,Moški,Postojna,1963,55,Živ,713,3720,638,554,3713,3488
207127,Zlatan Ljubijankić,Moški,Ljubljana,1983,35,Živ,168,441,44,124,234,694
207158,Zlatko Dedič,Moški,Bihać,1984,35,Živ,74,426,40,300,396,1189
207186,Zlatko Zahović,Moški,Maribor,1971,48,Živ,378,3113,75,239,860,1979
209185,Katja Višnar,Ženska,Bled,1984,35,Živ,24,57,13,56,190,577
213002,Samir Handanović,Moški,Ljubljana,1984,35,Živ,610,27463,49,259,362,7186
213032,Robert Koren,Moški,Radlje ob Dravi,1980,39,Živ,44,1091,41,211,456,2053
213085,Milivoje Novaković,Moški,Ljubljana,1979,40,Živ,136,845,46,317,664,2002
213112,Valter Birsa,Moški,Šempeter pri Gorici,1986,33,Živ,95,1626,41,261,559,1380
217358,Merlene Ottey,Ženska,,1960,59,Živ,224,14790,62,460,694,4132
217903,Zmago Jelinčič Plemeniti,Moški,Maribor,1948,71,Živ,665,433,462,54,3158,418
220521,Zoran Janković,Moški,Saraorci,1953,66,Živ,1205,1136,177,161,2612,4013
220530,Zoran Lubej,Moški,Celje,1975,43,Živ,16,12,7,16,82,147
220545,Zoran Mušič,Moški,"Bukovica, Renče - Vogrsko",1909,96,Mrtev,160,470,1006,131,9170,2242
220547,Zoran Pavlovič,Moški,Tuzla,1976,43,Živ,33,145,50,70,498,517
220554,Zoran Predin,Moški,Maribor,1958,61,Živ,199,575,135,44,633,313
220572,Zoran Thaler,Moški,Kranj,1962,57,Živ,69,97,282,34,1979,829
229079,Polona Hercog,Ženska,Maribor,1991,28,Živ,193,5282,79,826,931,8088
229116,Katarina Srebotnik,Ženska,Slovenj Gradec,1981,38,Živ,66,737,179,1828,744,7054
231305,Petra Majdič,Ženska,Ljubljana,1979,39,Živ,220,430,109,138,3027,2342
231334,Barbara Celjska,Ženska,Celje,1392,59,Mrtev,749,1384,49,210,1490,1443
231366,Alenka Gotar,Ženska,Ljubljana,1977,42,Živ,128,222,68,179,730,723
231488,Zvonko Kurbos,Moški,Maribor,1960,59,Živ,12,79,3,83,270,544
233613,Rebeka Dremelj,Ženska,Brežice,1980,39,Živ,219,277,81,210,1087,547
236878,Ivana Kobilca,Ženska,Ljubljana,1861,64,Mrtev,474,354,51,54,908,1024
239269,Jolanda Batagelj,Ženska,Celje,1976,43,Živ,294,492,121,248,882,1023
239728,Mima Jaušovec,Ženska,Maribor,1956,63,Živ,68,486,110,582,630,2726
240347,Katarina Kresal,Ženska,Ljubljana,1973,46,Živ,386,187,244,23,1939,738
240351,Sara Isaković,Ženska,Bled,1988,31,Živ,256,238,55,134,658,742
240996,Eva Boto,Ženska,Dravograd,1995,23,Živ,1299,495,72,215,997,582
241010,Maja Keuc,Ženska,Maribor,1992,27,Živ,155,391,90,231,568,851
241258,Ana Muzičuk,Ženska,,1990,29,Živ,19,824,16,95,250,1271
249737,Andraž Kirm,Moški,Ljubljana,1984,35,Živ,35,248,41,84,444,1010
250714,Gregor Gazvoda,Moški,Maribor,1981,38,Živ,9,30,8,37,102,393
251428,Benjamin Ipavec,Moški,Šentjur,1829,78,Mrtev,118,87,174,129,1692,629
252528,Jožef Pustai,Moški,Beltinci,1864,70,Mrtev,6,32,100,80,581,463
256657,Miha Mazzini,Moški,Jesenice,1961,58,Živ,498,552,116,74,992,553
258290,Andreja Klepač,Ženska,Koper,1986,33,Živ,27,275,65,715,173,1471
258425,Teja Gregorin,Ženska,Ljubljana,1980,39,Živ,47,107,34,141,352,404
258443,Mateja Svet,Ženska,Ljubljana,1968,51,Živ,110,167,113,126,752,909
261710,Nastja Čeh,Moški,Ptuj,1978,41,Živ,105,314,40,136,325,1086
261766,Ferenc Novak,Moški,Tešanovci,1791,44,Mrtev,3,34,18,62,187,334
262711,Darja Kapš,Ženska,Novo mesto,1981,37,Živ,31,29,12,18,327,163
262833,Janoš Slepec,Moški,Murska Sobota,1872,64,Mrtev,6,22,14,35,167,343
266026,Igor Bavčar,Moški,Ljubljana,1955,63,Živ,226,176,1086,27,4493,939
267826,Jožef Bagari,Moški,Murska Sobota,1840,79,Mrtev,8,24,95,74,544,380
268003,Edvard Kardelj,Moški,Ljubljana,1910,69,Mrtev,390,1858,366,184,2161,1564
268621,Števan Selmar,Moški,Grad,1820,56,Mrtev,7,17,99,65,495,485
269029,Lucija Polavder,Ženska,Celje,1984,34,Živ,22,48,26,55,164,282
269065,Urška Hrovat,Ženska,Ljubljana,1974,45,Živ,50,46,37,42,440,472
269092,Karmen Stavec,Ženska,,1973,45,Živ,261,213,77,141,687,411
269146,Andreja Mali,Ženska,Kamnik,1977,41,Živ,14,49,30,106,269,495
271356,Brigita Bukovec,Ženska,Ljubljana,1970,49,Živ,167,147,98,107,619,650
271363,Katja Koren,Ženska,Maribor,1975,44,Živ,51,73,33,37,210,447
271378,Špela Pretnar,Ženska,Bled,1973,46,Živ,43,86,59,65,322,422
277836,Vasja Pirc,Moški,Idrija,1907,72,Mrtev,80,397,28,76,167,377
281838,Anton Števanec,Moški,Vanča vas,1861,59,Mrtev,0,20,17,35,349,205
282217,Sašo Fornezzi,Moški,Slovenj Gradec,1982,36,Živ,21,68,4,17,131,323
282653,Lojze Peterle,Moški,Čužnja vas,1948,71,Živ,133,434,1141,269,6477,1506
284450,Tanja Ribič,Ženska,Trbovlje,1968,51,Živ,424,765,91,499,993,1151
287014,Bojan Prašnikar,Moški,Šmartno ob Paki,1953,66,Živ,177,194,68,116,345,894
287267,Tina Pisnik,Ženska,Maribor,1981,38,Živ,14,112,26,250,88,523
287332,Bernarda Fink,Ženska,Buenos Aires,1955,64,Živ,28,482,298,175,1680,1675
287352,Mojca Suhadolc,Ženska,Ljubljana,1975,44,Živ,24,20,25,22,226,237
290571,Jurij Tepeš,Moški,Ljubljana,1989,30,Živ,117,118,66,97,588,655
290705,Herman II. Celjski,Moški,Celje,1361,74,Mrtev,243,462,111,137,1465,1711
298491,Rene Krhin,Moški,Maribor,1990,29,Živ,277,2248,40,149,285,2997
301171,Oton Župančič,Moški,Vinica,1878,71,Mrtev,1736,1099,427,199,2783,2030
310106,Janko Prunk,Moški,Loka pri Zidanem Mostu,1942,76,Živ,35,65,95,52,1119,1577
311328,Mišo Brečko,Moški,Trbovlje,1984,35,Živ,58,295,43,90,270,476
314736,Bojan Jokić,Moški,Kranj,1986,33,Živ,80,1756,36,136,206,1088
314886,Jože Plečnik,Moški,Ljubljana,1872,84,Mrtev,1353,1854,528,264,2732,1411
315246,Damir Skomina,Moški,Koper,1976,43,Živ,358,3657,3,568,1054,1114
318926,Saša Vujačić,Moški,Maribor,1984,35,Živ,128,8471,21,316,985,2506
319533,Juš Kozak,Moški,Ljubljana,1892,72,Mrtev,52,39,429,23,2515,384
321636,Igor Ozim,Moški,Ljubljana,1931,88,Živ,29,153,956,34,2164,522
322609,Alojz Uran,Moški,Ljubljana,1945,74,Živ,115,41,63,18,652,317
322616,Avgust Ipavec,Moški,,1940,79,Živ,12,18,8,9,220,352
322661,Jurij Slatkonja,Moški,Ljubljana,1456,66,Mrtev,160,100,123,134,469,734
322818,Josip Plahuta,Moški,,1827,56,Mrtev,1,20,5,9,112,119
324129,Kajetan Kovič,Moški,Maribor,1931,83,Mrtev,1017,226,442,35,2556,646
324198,Renato Vugrinec,Moški,Ptuj,1975,44,Živ,52,186,7,45,83,1035
328366,Borut Mavrič,Moški,Šempeter pri Gorici,1970,49,Živ,20,59,8,14,157,202
328418,Igor Štuhec,Moški,,1932,86,Živ,58,33,307,116,1841,274
328422,Aleš Brezavšček,Moški,,1972,46,Živ,11,18,8,7,88,159
328436,Marko Pogačnik,Moški,Kranj,1944,75,Živ,70,205,315,198,1708,1931
328492,Maks Bajc,Moški,Ljubljana,1919,63,Mrtev,225,30,14,7,182,109
329536,Marko Šuler,Moški,Slovenj Gradec,1983,36,Živ,67,152,38,127,332,512
329542,Aleksandar Radosavljevič,Moški,Kranj,1979,40,Živ,44,145,38,85,149,325
331062,Gregor Grilc,Moški,Šenčur,1970,49,Živ,12,15,9,17,83,146
336503,Teoman Alibegović,Moški,Zenica,1967,52,Živ,23,265,10,70,448,664
337420,Jakov Fak,Moški,,1987,32,Živ,2109,743,30,214,943,1580
338876,Matija Hvale,Moški,Vače,1470,48,Mrtev,14,26,5,12,456,129
342406,Milenko Ačimovič,Moški,Ljubljana,1977,42,Živ,149,1156,55,142,541,782
343307,Branko Elsner,Moški,Ljubljana,1929,82,Mrtev,74,246,17,95,287,390
343329,Boštjan Hladnik,Moški,Kranj,1929,77,Mrtev,76,101,44,99,262,482
343342,Martin Hvastija,Moški,Ljubljana,1969,49,Živ,27,26,12,53,74,116
344599,Anton Mahnič,Moški,Kobdilj,1850,70,Mrtev,94,81,141,85,1799,691
345330,Dejan Košir,Moški,Jesenice,1973,46,Živ,169,51,63,57,480,213
345336,Valentin Areh,Moški,Ljubljana,1971,48,Živ,28,24,6,10,224,412
346712,Boštjan Cesar,Moški,Ljubljana,1982,37,Živ,52,1021,44,202,409,1306
348832,Adam Bohorič,Moški,Brestanica,1520,78,Mrtev,596,159,218,194,470,597
350118,John Jakopin,Moški,Toronto,1975,44,Živ,5,73,7,38,346,503
350121,Janez Ožbolt,Moški,Stari trg pri Ložu,1970,49,Živ,10,18,18,36,308,136
350125,Tomas Globočnik,Moški,Škofja Loka,1972,47,Živ,10,7,14,23,66,120
350345,Nejc Pečnik,Moški,Dravograd,1986,33,Živ,67,456,39,116,563,1310
350372,Andrej Komac,Moški,Šempeter pri Gorici,1979,39,Živ,15,97,36,65,163,416
351683,Vladimir Bartol,Moški,Trst,1903,64,Mrtev,183,737,81,51,564,707
352413,Aleksander Beljavski,Moški,,1953,65,Živ,17,620,24,152,432,619
352583,Matej Gnezda,Moški,,1979,40,Živ,7,24,9,13,43,143
352593,Jožef Sakovič,Moški,Vadarci,1874,56,Mrtev,8,30,107,63,662,540
352600,Alojzij Šuštar,Moški,"Grmada, Trebnje",1920,86,Mrtev,79,47,795,196,1202,588
353534,Matjaž Kek,Moški,Maribor,1961,58,Živ,338,1374,87,243,919,1325
354234,Leon Štukelj,Moški,Novo mesto,1898,100,Mrtev,513,551,889,382,885,1772
357798,Milan Vidmar,Moški,Ljubljana,1885,77,Mrtev,142,427,116,138,1368,675
358249,Tadej Valjavec,Moški,Kranj,1977,42,Živ,37,121,24,92,269,608
358831,Dean Podgornik,Moški,Nova Gorica,1979,40,Živ,9,28,9,11,273,158
359370,Radoslav Nesterovič,Moški,Ljubljana,1976,43,Živ,141,4183,53,333,813,2113
360127,Jože Pučnik,Moški,Črešnjevec,1932,70,Mrtev,313,550,294,149,2516,2270
360549,Peter Pen,Moški,Maribor,1973,46,Živ,8,68,7,14,108,94
361024,Branko Ilič,Moški,Ljubljana,1983,36,Živ,52,463,38,153,316,1287
361058,Aleksander Šeliga,Moški,Celje,1980,39,Živ,21,70,32,50,181,463
363287,Anže Šetina,Moški,Kranj,1986,33,Živ,3,16,5,13,439,147
363591,Peter Dokl,Moški,Ljubljana,1985,34,Živ,6,59,10,31,111,48
363612,David Špiler,Moški,Kranj,1983,36,Živ,19,98,25,46,227,257
365246,Anton Vovk,Moški,Vrba,1900,63,Mrtev,142,175,148,42,1123,945
366766,Sani Bečirović,Moški,Maribor,1981,38,Živ,100,554,48,211,783,1213
367383,Edvard Kocbek,Moški,Maribor,1904,77,Mrtev,681,396,406,112,2464,2706
368106,Jure Pavlič,Moški,Ljubljana,1963,56,Živ,11,26,5,21,60,209
368139,Srečko Kosovel,Moški,Sežana,1904,22,Mrtev,1077,415,208,131,3505,1932
369532,Goran Dragić,Moški,Ljubljana,1986,33,Živ,618,12176,104,471,1822,4194
370431,Mario Kraljevič,Moški,,1970,49,Živ,17,59,22,33,273,325
371530,Gašper Krošelj,Moški,Ljubljana,1987,32,Živ,3,66,15,26,573,116
372253,Dalibor Stevanovič,Moški,Ljubljana,1984,35,Živ,39,223,36,106,330,371
373213,Janoš Županek,Moški,Šalovci,1861,90,Mrtev,4,35,19,26,256,327
373570,Adrian Mihalčišin,Moški,,1954,64,Živ,8,142,12,44,199,632
373612,Blaž Kavčič,Moški,Ljubljana,1987,32,Živ,61,417,30,702,1396,1611
375189,Erazem Lorbek,Moški,Ljubljana,1984,35,Živ,29,650,23,247,1359,1869
375787,Anže Kopitar,Moški,"Hrušica, Jesenice",1987,32,Živ,243,8063,98,465,1508,4891
375811,Branko Oblak,Moški,Ljubljana,1947,72,Živ,191,997,122,244,708,1105
378747,Boris Pahor,Moški,Trst,1913,106,Živ,465,1351,1035,89,3773,4158
379172,Rok Petrovič,Moški,Ljubljana,1966,27,Mrtev,201,282,66,75,620,606
379328,Lucijan Marija Škerjanc,Moški,,1900,72,Mrtev,98,161,323,207,1615,1783
380035,Jaka Lakovič,Moški,Ljubljana,1978,41,Živ,61,1002,50,189,1111,1325
382065,Jani Brajkovič,Moški,Metlika,1983,35,Živ,238,7132,33,171,320,1495
382197,Željko Ivanek,Moški,Ljubljana,1957,62,Živ,70,22134,11,348,484,2004
384991,Drago Jančar,Moški,Maribor,1948,71,Živ,524,1298,1342,317,5758,3497
386941,Vid Kavtičnik,Moški,Slovenj Gradec,1984,35,Živ,143,339,60,88,760,317
387671,Branko Hofman,Moški,Rogatec,1929,61,Mrtev,37,36,88,9,622,417
388647,Katja Požun,Ženska,Trbovlje,1993,26,Živ,16,19,19,27,994,143
392245,Špela Bračun,Ženska,Škofja Loka,1977,42,Živ,26,18,17,16,89,183
392255,Špela Rogelj,Ženska,Ljubljana,1994,24,Živ,34,33,30,45,1130,271
393407,Žarko Petan,Moški,Ljubljana,1929,85,Mrtev,62,52,389,130,1078,554
393695,Željko Mitrakovič,Moški,,1972,46,Živ,18,46,4,14,156,149
393996,Žiga Jeglič,Moški,Kranj,1988,31,Živ,13,234,34,53,611,561
394003,Žiga Pance,Moški,Ljubljana,1989,30,Živ,8,108,38,49,541,303
394008,Žiga Pavlin,Moški,Kranj,1985,34,Živ,30,35,36,21,624,130
403662,Tomaž Humar,Moški,Ljubljana,1969,40,Mrtev,515,719,752,30,2516,925
406925,Maša Zec Peškirič,Ženska,Jesenice,1987,32,Živ,12,69,5,237,139,924
422608,Vida Tomšič,Ženska,Ljubljana,1913,85,Mrtev,137,58,26,15,1033,818
431716,Urška Rabič,Ženska,,1985,34,Živ,9,9,9,16,82,159
431743,Ljudmila Novak,Ženska,Maribor,1959,60,Živ,169,160,108,41,915,477
431769,Dijana Ravnikar,Ženska,,1978,41,Živ,8,24,17,48,222,283
431797,Alenka Dovžan,Ženska,Piran,1976,43,Živ,43,37,30,38,122,237
431929,Verica Trstenjak,Ženska,,1962,56,Živ,85,65,6,20,1497,1714
432473,Melania Trump,Ženska,Novo mesto,1970,49,Živ,611,240016,31,884,685,6725
434177,Andrej Bajuk,Moški,Ljubljana,1943,67,Mrtev,164,192,299,64,3036,939
434426,Ljubica Jelušič,Ženska,Koper,1960,59,Živ,52,49,84,18,801,153
434431,Majda Širca Ravnikar,Ženska,Postojna,1953,66,Živ,44,34,415,27,3545,313
434599,Mateja Robnik,Ženska,Celje,1987,32,Živ,19,18,6,17,84,238
434609,Nataša Bokal,Ženska,Škofja Loka,1967,52,Živ,23,30,56,58,228,409
436085,Mitja Šivic,Moški,Brezje,1979,40,Živ,15,26,47,21,572,123
436736,Robert Hrgota,Moški,Celje,1988,31,Živ,3,12,9,17,188,205
437556,Snežana Rodić,Ženska,,1982,37,Živ,84,236,3,44,89,210
437935,Janez Potočnik,Moški,Kropa,1958,61,Živ,71,433,47,93,662,1372
438758,Ivo Zupan,Moški,Jesenice,1956,63,Živ,0,8,8,6,86,125
438778,Tomaž Dolar,Moški,,1966,52,Živ,5,5,5,6,120,124
438790,Janez Krstnik Dolar,Moški,Kamnik,1620,53,Mrtev,27,190,8,18,299,413
438813,Blaž Vrhovnik,Moški,Ljubljana,1981,38,Živ,5,9,15,9,166,124
439708,Alenka Bikar,Ženska,Ljubljana,1974,45,Živ,56,382,44,132,242,610
439813,Jakob Petelin Kranjec,Moški,,1550,41,Mrtev,357,721,105,152,372,1230
439908,Jasmin Handanović,Moški,Ljubljana,1978,41,Živ,213,1922,58,118,386,570
441316,Elvedin Džinič,Moški,,1985,34,Živ,14,78,32,72,243,343
441575,Dejan Jekovec,Moški,,1974,45,Živ,2,15,8,6,105,124
443716,Primož Brezec,Moški,Postojna,1979,40,Živ,84,589,34,160,549,1220
443730,Boštjan Nachbar,Moški,Slovenj Gradec,1980,39,Živ,91,755,35,191,715,1721
444483,Miha Rihtar,Moški,Ljubljana,1981,38,Živ,5,13,10,7,97,121
446455,Andrea Bosic,Moški,Gomilsko,1919,92,Mrtev,7,156,2,64,149,538
448891,Gorazd Škof,Moški,Novo mesto,1977,42,Živ,65,112,47,53,567,263
449459,Marko Prezelj,Moški,Kamnik,1965,54,Živ,38,176,21,16,273,520
450649,Alojzij Ambrožič,Moški,Gabrje,1930,81,Mrtev,14,358,24,96,907,720
451561,Tadeja Brankovič Likozar,Ženska,Kranj,1979,39,Živ,24,19,40,58,135,447
451570,Mojca Kleva,Ženska,Koper,1976,43,Živ,27,18,5,11,406,385
451593,Eva Sršen,Ženska,Ljubljana,1951,68,Živ,83,112,21,94,184,354
451604,Ilka Štuhec,Ženska,Slovenj Gradec,1990,28,Živ,306,371,101,105,2104,1133
451632,Petra Robnik,Ženska,Jesenice,1984,35,Živ,11,17,9,17,80,200
451662,Eva Logar,Ženska,Ljubljana,1991,28,Živ,17,23,13,26,962,137
451674,Andreja Koblar,Ženska,Kranj,1971,48,Živ,13,33,24,37,71,549
451870,Jana Krivec,Ženska,Šempeter pri Gorici,1980,39,Živ,26,36,13,12,213,175
451875,Darja Švajger,Ženska,Maribor,1965,54,Živ,160,188,106,176,1321,499
451882,Anja Tepeš,Ženska,Ljubljana,1991,28,Živ,35,31,11,13,742,159
451899,Franka Anić,Ženska,,1991,28,Živ,3,31,3,32,61,180
451933,Maja Vtič,Ženska,Novo mesto,1988,31,Živ,14,27,50,65,1266,265
451945,Ida Kravanja,Ženska,Divača,1907,71,Mrtev,352,428,31,78,315,1184
451954,Veronika Šarec,Ženska,Ljubljana,1968,51,Živ,22,24,19,35,186,315
451982,Katjuša Pušnik,Ženska,,1969,50,Živ,27,21,15,23,88,113
451988,Nataša Urbančič,Ženska,Celje,1945,65,Mrtev,23,52,39,51,453,313
451997,Regina,Ženska,Murska Sobota,1965,54,Živ,95,183,86,128,3275,1028
452853,Gašper Markič,Moški,Kranj,1986,33,Živ,5,9,4,4,94,165
453273,Berta Ambrož,Ženska,Kranj,1944,58,Mrtev,61,106,19,61,465,133
453497,Robert Kranjec,Moški,Kranj,1981,38,Živ,120,129,166,230,4798,839
453622,Primož Peterka,Moški,Ljubljana,1979,40,Živ,110,188,258,297,1435,1742
455335,Matej Mavrič Rožič,Moški,Koper,1979,40,Živ,134,113,31,62,284,329
456136,Peter Prevc,Moški,Kranj,1992,27,Živ,410,559,254,348,3206,4153
456643,Mitja Ferenc,Moški,Ljubljana,1960,59,Živ,252,87,15,17,377,405
458584,Gregor Fučka,Moški,Kranj,1971,48,Živ,43,744,15,187,260,822
460814,Marjan Mesec,Moški,Kranj,1947,72,Živ,17,11,10,8,147,124
461559,Borut Božič,Moški,Idrija,1980,39,Živ,46,234,14,156,499,1510
462744,Tanja Fajon,Ženska,Ljubljana,1971,48,Živ,235,1052,18,28,353,1242
464922,Anton Rop,Moški,Ljubljana,1960,58,Živ,107,198,362,66,2319,595
464939,Andrej Hebar,Moški,Ljubljana,1984,35,Živ,13,46,43,18,669,195
468005,Marjana Lipovšek,Ženska,Ljubljana,1946,72,Živ,65,190,954,55,2915,317
468144,Nuša Rajher,Ženska,Maribor,1983,36,Živ,10,21,3,28,104,112
468159,Urša Bogataj,Ženska,Ljubljana,1995,24,Živ,17,33,23,41,1164,94
